AK,71,102
WA,241,239
OR,230,283
CA,196,338
NV,247,349
ID,292,287
MT,339,259
WY,358,325
UT,312,380
AZ,288,449
NM,363,458
CO,363,376
ND,429,259
SD,435,300
NE,440,351
KS,451,392
OK,467,437
TX,450,484
LA,531,496
AR,528,430
MO,523,389
IA,506,336
MN,491,281
WI,542,297
MI,593,301
MI,567,267
IL,546,360
IN,592,361
KY,591,394
TN,585,422
MS,557,470
AL,597,464
GA,631,460
FL,669,528
SC,664,433
NC,667,408
VA,678,376
WV,649,363
OH,617,346
PA,669,322
MD,695,338
DE,714,345
NJ,715,326
NY,678,292
RI,738,291
CT,723,296
MA,722,285
VT,710,252
NH,727,264
ME,745,226
HI,110,470
HI,96,453
HI,69,444
HI,52,435
HI,42,437
